timestamp,x,y,z
10047317316,-23.75,110.125,-145.375
10047339850,-24.5625,98.375,-141.438
10047357755,-25,90.875,-133.938
10047377463,-16.125,84.9375,-128.188
10047400037,-3.9375,81.9375,-126.75
10047417822,5.25,88.1875,-129.375
10047438756,14.5,90.6875,-129.062
10047460072,29.9375,83.375,-120.938
10047477791,43.5,76.8125,-114.875
10047498843,54,73.8125,-120.938
10047519984,47.75,75.625,-126.438
10047537786,42.5625,74.625,-131.5
10047558892,38.75,67.8125,-135.875
10047580036,31.0625,60.75,-132.875
10047597712,19.4375,55.8125,-132.875
10047618880,1.4375,57.4375,-136.812
10047640065,-12.625,60.0625,-136.188
10047657799,-16.625,58.25,-134.812
10047678863,-15.25,52.1875,-127.438
10047699984,-15.125,45.125,-119.312
10047717748,-7.3125,43.625,-112.938
10047738843,10.875,46.125,-102.25
10047759815,36.125,47.75,-88.0625
10047777777,46.75,49.1875,-78.4375
10047800226,41.375,50.25,-71.25
10047827595,36.875,49.5,-66.625
10047837812,36.25,43.5,-59.1875
10047860339,43.6875,38.0625,-46.0625
10047880017,54.375,39.25,-39.125
10047897765,63.1875,36.625,-38.0625
10047920347,54.1875,33.0625,-36.4375
10047939910,34.6875,25.75,-37.0625
10047957799,20.25,21.125,-27.8125
10047980311,21.3125,19.5625,-19
10048000085,22.875,18.375,-15.5
10048017799,25,15.375,-10.0625
10048040271,28,12.75,-5.75
10048059924,33.25,11.4375,-0.125
10048077815,45.5,6.5625,7.1875
10048100288,55.375,1.875,14.625
10048120503,49.5625,1.375,20.25
10048136963,41.625,-1.875,22.0625
10048159435,33.8125,0.0625,20
10048180478,25.375,-2.5625,20.5
10048196925,19.5625,-4.5,21.75
10048219496,16.75,-5.8125,24.5
10048240697,9.3125,-7.4375,24.3125
10048257527,3.375,-9.5625,21.125
10048279565,2,-8.5625,22.1875
10048300790,7.75,-7.25,27
10048317001,8.0625,-1.3125,29
10048339477,17.25,-1.0625,35.5625
10048360712,29.625,-6.125,35.0625
10048384467,31.0625,-4.125,37.25
10048399481,35.1875,-1.125,37.375
10048420727,38.75,-0.9375,39.9375
10048437039,36.1875,-2.625,43.625
10048459455,34.625,1.1875,49.5
10048480528,39.0625,6.4375,54.3125
10048496930,45.0625,11.0625,59.9375
10048519460,44.5625,14.125,62.6875
10048540528,38.3125,11.75,63.5
10048557061,34.1875,6.9375,72.875
10048579492,36.75,6.875,84.5625
10048600710,36.625,4.8125,90.5
10048617017,25.875,-3.375,89.0625
10048639502,3.0625,-17.375,81.4375
10048662054,0.875,-30.125,78.3125
10048676999,19,-31.9375,76
10048699505,25.125,-32.9375,76
10048722073,5.875,-35.75,78.75
10048736321,-22.5,-44.6875,83.0625
10048767023,-35.875,-49.4375,69.6875
10048782050,-20,-44.75,68.1875
10048796379,-3.875,-54.0625,66
10048819497,12.8125,-56.25,58.4375
10048842097,29.5,-33.625,59.25
10048856340,12,-17,40.4375
10048879491,-17.6875,-6.5625,45.9375
10048901928,-18.6875,-8.4375,42.875
10048916383,-9.625,-8.4375,30
10048939457,9.75,-7.3125,23.375
10048961935,9.375,3.6875,23.375
10048976253,-14.5625,9.875,23.5
10048999538,-37.625,5.1875,14.5625
10049022020,-41,0.9375,9.75
10049043217,-43.5625,1.9375,4.5625
10049059544,-40.9375,1.875,-3.5
10049082533,-28.6875,-1.5,-12.25
10049103053,-16.0625,-3.5,-14.375
10049125724,-7.0625,-4,-16
10049142018,2.875,-6.5625,-20.9375
10049163306,8.875,-8.9375,-25.125
10049179546,7.75,-12,-20.875
10049201984,9.8125,-7.3125,-20.375
10049223197,2.25,5.8125,-13.125
10049239524,-14.875,6.4375,-10.625
10049262027,-17.5,-3.375,-30.375
10049283010,-31.6875,10.5625,-8.8125
10049299455,-52.0625,19.5,-8.375
10049321981,-49.625,10.8125,-26.5
10049343013,-34.25,8.25,-35.1875
10049359461,-6.25,9.25,-51.6875
10049381943,0.3125,10.1875,-52.1875
10049403092,-7.375,14.6875,-60.125
10049419483,-10.0625,20.875,-49.4375
10049441958,-10.4375,17.375,-32.375
10049463054,-6.4375,12.0625,-49.8125
10049479519,-5.0625,7.8125,-57.5625
10049501999,12.125,10.375,-61.9375
10049523068,16.1875,7.75,-66.3125
10049539479,-13.375,14.8125,-52.4375
10049561986,-23.3125,22.8125,-54.125
10049583121,-20.75,38.5,-67.9375
10049599545,-30.1875,37.4375,-74.9375
10049621961,-55.75,36.75,-85.75
10049643009,-68.25,44.25,-86.5625
10049665560,-52.6875,56.1875,-81.25
10049681993,-24.125,60,-85.875
10049704467,10.9375,42.6875,-86.8125
10049718802,9,40.3125,-97
10049742002,-5.3125,51,-103.625
10049764243,-18.4375,49.5,-96.4375
10049778860,-6.75,45.25,-89.5
10049801992,15.75,45.4375,-95.625
